ID,FIRST_NAME,LAST_NAME,AGE,GENDER,COUNTRY,CUSTOMER_SINCE,CREDIT_LIMIT,CUSTOMER_LIFETIME_VALUE
CUST_XkdJNIO2oR,Sofía,Flores,51,Male,Mexico,2023-01-25,505,12081
CUST_yqnat8PKs6,Sophia,Schneider,46,Male,Germany,2022-09-12,3051,146857
CUST_oBaQyDiki5,Santiago,González,53,Male,Mexico,2016-07-23,439,19814
CUST_Eaqpd_1XtZ,Julia,Bakker,61,Male,Netherlands,2022-05-01,2073,82881
CUST_gLDp9KKt4N,Liam,Garcia,45,Male,United States,2016-06-17,1209,4015
CUST_WR3oBPPmcE,Louis,Bernard,45,Female,France,2019-12-16,5414,110448
CUST_ETBkzb5Uo6,Camila,Ramírez,61,Male,Colombia,2016-11-15,1270,44392
CUST_xgjhb@FLPJ,Santiago,Gómez,54,Female,Argentina,2018-04-08,4898,9640
CUST_NFpVb_QITi,Noah,Smith,43,Male,Canada,2024-08-03,1138,13853
CUST_rT@@WW7at1,Emma,Becker,52,Female,Germany,2024-01-05,4447,197587
CUST_KxJ@DQ1CcA,Lucas,Smit,43,Female,Netherlands,2017-09-28,11548,79960
CUST_ZuNr1FR46u,Mateo,García,43,Female,Mexico,2021-04-27,691,2103
CUST_SXcrB4fe0_,Isabella,Rodríguez,49,Male,Argentina,2025-01-13,2352,68770
CUST_TmBPLh7vSm,Leonardo,Bianchi,30,Female,Italy,2023-01-24,21459,1016084
CUST_x@Q5HwAuC8,Theo,Souza,31,Male,Brazil,2022-05-17,1920,80283
CUST_DnFECTut0h,Alice,Colombo,42,Female,Italy,2018-02-27,1911,93164
CUST_F0GAipjNK@,María,Vargas,38,Female,Colombia,2020-09-06,3676,138951
CUST_g15X0uv8h2,Isla,Evans,50,Female,United Kingdom,2016-03-21,1876,41553
CUST_l-T8ZoMltS,Emma,Wagner,39,Male,Germany,2015-07-11,389,18422
CUST_XGVKUkrnS@,Anna,Meijer,34,Male,Netherlands,2015-03-25,5009,108286
CUST_fEOoFYhWi-,Sophia,Davis,60,Male,United States,2025-02-14,298,5313
CUST_XquvjuKAaS,Anna,Schneider,45,Female,Germany,2023-10-26,1243,28198
CUST_eaIAWRkFYP,Martina,López,48,Male,Argentina,2018-11-08,5360,218644
