ID,FULL_NAME,AGE,GENDER,COUNTRY,CREDIT_LIMIT,CUSTOMER_LIFETIME_VALUE
CUST_jhsRNKST@1,Oliver Evans,64,MALE,UNITED KINGDOM,5995,268524
CUST_7B4OBiosUW,Julia Lima,44,FEMALE,BRAZIL,212,8946
CUST_XZIBu8brxi,Alejandro García,54,MALE,SPAIN,8605,191205
CUST_1-RMLavE67,Mariana Silva,41,FEMALE,BRAZIL,1383,22399
CUST_xn0adLBdLA,Lina Petit,44,FEMALE,FRANCE,1652,10233
CUST_hd9841aThD,Mariana Alves,52,FEMALE,BRAZIL,3561,63389
CUST_lOwUwvszOW,Giorgia Rossi,56,FEMALE,ITALY,4239,89801
CUST_Hj6_@CaCtF,Mia Weber,33,FEMALE,GERMANY,4786,13711
CUST_d5NZjsfauX,Valentina Sepúlveda,52,FEMALE,CHILE,4099,77708
CUST_KXFiV7PQdX,Álvaro Moreno,64,MALE,SPAIN,2188,89877
CUST_3_HZtT71Ww,Ángel Torres,65,MALE,MEXICO,6408,50064
CUST_6k-N1lSVRy,Noah Martin,55,MALE,CANADA,1111,32078
CUST_s_stNBZwh5,John Smith,52,MALE,UNITED STATES,2101,88444
CUST_AjsrO6ySDa,Leandro Pérez,53,MALE,ARGENTINA,617,12490
CUST_2ciZs9JnDp,Luuk Visser,51,MALE,NETHERLANDS,516,4008
CUST_3yV4oU5zVr,Fernanda Pereira,39,FEMALE,BRAZIL,1394,69411
CUST_xgS_pno4z5,Olivia Tremblay,59,FEMALE,CANADA,2132,54418
CUST_Thtk-ZVQTh,Matheus Santos,55,MALE,BRAZIL,340,8071
CUST_0FZ6Up7Coo,Gabriel Lima,63,MALE,BRAZIL,1528,73077
CUST_8wcYPnSYa_,Bruno Souza,64,MALE,BRAZIL,3261,116063
CUST_a3pxCooDW8,Noah Janssen,53,MALE,NETHERLANDS,308,8252
CUST_4pUcYigvdq,María García,34,FEMALE,MEXICO,2302,69392
CUST_MeNzF1Mttw,Felipe Santos,50,MALE,BRAZIL,6164,150436
CUST_Gx9IDcX4zX,Sophia Taylor,56,FEMALE,UNITED STATES,2219,45702
CUST_mlnLkJ8GbS,Freya Davies,37,FEMALE,UNITED KINGDOM,1185,53854
CUST_rkIrKWvEYh,Daniela Gonzales,52,FEMALE,PERU,800,29019
CUST_Ylwj@v291n,Lucas Ferreira,37,MALE,BRAZIL,870,10754
