ID,FIRST_NAME,LAST_NAME,AGE,GENDER,COUNTRY,CREDIT_LIMIT,CUSTOMER_LIFETIME_VALUE
CUST_jhsRNKST@1,"""Oliver""",'Evans',64,Male,United Kingdom,"$5,995 ","'268,524'"
CUST_7B4OBiosUW,'Julia','Lima',44,Female,br,$212 ,"'8,946'"
CUST_XZIBu8brxi,'Alejandro','García',54,Male,ES,"$8,605 ","'191,205'"
CUST_1-RMLavE67,'Mariana','Silva',41,Female,Brazil,"$1,383 ","'22,399'"
CUST_xn0adLBdLA,"""Lina""",'Petit',44,Female,France,"$1,652 ","'10,233'"
CUST_hd9841aThD,"""Mariana""",'Alves',52,Female,BR,"$3,561 ","'63,389'"
CUST_lOwUwvszOW,"""Giorgia""","""Rossi""",56,Female,IT,"$4,239 ","'89,801'"
CUST_Hj6_@CaCtF,"""Mia""","""Weber""",33,Female,de,"$4,786 ","'13,711'"
CUST_d5NZjsfauX,"""Valentina""","""Sepúlveda""",52,Female,CL,"$4,099 ","'77,708'"
CUST_KXFiV7PQdX,"""Álvaro""","""Moreno""",64,Male,es,"$2,188 ","'89,877'"
CUST_3_HZtT71Ww,"""Ángel""",'Torres',65,Male,mx,"$6,408 ","'50,064'"
CUST_6k-N1lSVRy,'Noah',"""Martin""",55,Male,ca,"$1,111 ","'32,078'"
CUST_s_stNBZwh5,"""John""","""Smith""",52,Male,us,"$2,101 ","'88,444'"
CUST_AjsrO6ySDa,'Leandro','Pérez',53,Male,AR,$617 ,"'12,490'"
CUST_2ciZs9JnDp,'Luuk',"""Visser""",51,Male,Netherlands,$516 ,"'4,008'"
CUST_3yV4oU5zVr,'Fernanda','Pereira',39,Female,br,"$1,394 ","'69,411'"
CUST_xgS_pno4z5,'Olivia',"""Tremblay""",59,Female,CA,"$2,132 ","'54,418'"
CUST_Thtk-ZVQTh,"""Matheus""","""Santos""",55,Male,Brazil,$340 ,"'8,071'"
CUST_0FZ6Up7Coo,'Gabriel','Lima',63,Male,br,"$1,528 ","'73,077'"
CUST_8wcYPnSYa_,'Bruno','Souza',64,Male,br,"$3,261 ","'116,063'"
CUST_a3pxCooDW8,'Noah',"""Janssen""",53,Male,nl,$308 ,"'8,252'"
CUST_4pUcYigvdq,"""María""",'García',34,Female,mx,"$2,302 ","'69,392'"
CUST_MeNzF1Mttw,"""Felipe""","""Santos""",50,Male,br,"$6,164 ","'150,436'"
CUST_Gx9IDcX4zX,'Sophia',"""Taylor""",56,Female,US,"$2,219 ","'45,702'"
CUST_mlnLkJ8GbS,"""Freya""","""Davies""",37,Female,GB,"$1,185 ","'53,854'"
CUST_rkIrKWvEYh,'Daniela','Gonzales',52,Female,Peru,$800 ,"'29,019'"
CUST_Ylwj@v291n,'Lucas','Ferreira',37,Male,BR,$870 ,"'10,754'"
CUST_bAfYMs7qXK,"""Catalina""","""Contreras""",48,Female,Chile,"$2,178 ","'96,773'"
CUST_NFkN2MaCq4,'Joaquín',"""Torres""",63,Male,ar,"$1,048 ","'19,682'"
CUST_hOD30TzhPQ,'Ethan','Dubois',43,Male,FR,"$1,114 ","'20,469'"
CUST_YumrS@DFcU,'Maria',"""Souza""",46,Female,Brazil,"$1,387 ","'54,901'"
CUST_z2skb4Vyk@,'Freya',"""Evans""",36,,GB,"$4,840 ","'47,233'"
CUST_XnMyVcoyu@,'Valeria','Sánchez',49,Female,MX,$686 ,"'22,415'"
CUST_EGjNBn1ZLg,'Agustina','Sánchez',47,Female,AR,"$1,052 ","'44,591'"
CUST_doMWT5UCQi,"""Tijn""","""Smit""",51,Male,Netherlands,"$1,892 ","'48,920'"
CUST_jNk@cBwxAP,"""Leandro""",'Rodríguez',53,Male,ar,"$3,951 ","'25,589'"
CUST_bd2WzzcalQ,"""João""","""Rodrigues""",61,,BR,$626 ,"'13,022'"
CUST_B2Qcxy7m6g,"""Andrew""",'Moore',50,Male,US,"$2,129 ","'84,950'"
CUST_EqG_xCIBFZ,'Ginevra',"""Greco""",51,Female,IT,"$4,098 ","'191,444'"
CUST_X6fngYApEG,"""João""","""Santos""",43,Male,BR,$501 ,"'11,981'"
CUST_h@ML_VTeEv,'Santiago',"""Romero""",48,Male,ar,"$1,354 ","'55,459'"
CUST_UFvwUPT_fe,'Carlos',"""Hernández""",58,Male,Mexico,"$3,954 ","'15,239'"
CUST_T61pMMXiFs,"""Tomás""","""Sousa""",51,Male,pt,$485 ,"'5,554'"
CUST_xwQqQM7etv,"""Beatriz""",'Costa',53,Female,Brazil,"$1,488 ","'34,050'"
CUST_j0hfBMmySn,"""Léa""","""Bernard""",37,Female,fr,"$1,873 ","'68,594'"
CUST_o8CIRxfQ5Y,"""Mia""",'García',35,Female,Peru,"$1,712 ","'4,231'"
CUST_mXYe0CsmPq,"""Santiago""","""Martínez""",40,Male,Mexico,"$2,699 ","'67,218'"
CUST_pELtdiZee@,"""Leonie""",'Schäfer',58,Female,Germany,$999 ,"'9,495'"
CUST_wD-_5sAGzv,'Tomás',"""Rodrigues""",36,Male,pt,"$2,120 ","'77,952'"
CUST_AQuzCqurMy,'Nathan','Moreau',39,Male,FR,"$3,856 ","'86,917'"
CUST_V7SWDzchOE,"""Guilherme""","""Sousa""",45,Male,PT,$976 ,"'45,527'"
CUST_PkAFfCLACm,"""Juan""","""Ramírez""",51,Male,mx,"$1,143 ","'50,477'"
CUST_a35lIOuACe,'Diego',"""García""",44,Male,es,"$1,978 ","'98,505'"
CUST_a93IcI_oTs,"""Daniel""",'Anderson',61,Male,us,$316 ,"'6,073'"
CUST_yCSnEjzTl8,"""Lukas""",'Wagner',36,Male,Germany,"$1,095 ","'40,039'"
CUST_869IDO-fz0,"""Francesco""",'Esposito',46,Male,IT,"$15,758 ","'27,500'"
CUST_fQ9biWqQRB,"""Jacob""","""Martin""",44,Male,Canada,"$5,960 ","'37,168'"
CUST_Kvou0za_mn,'Max',"""Schmidt""",45,Male,de,"$3,119 ","'86,702'"
CUST_641SdTD6p0,"""Gustavo""","""Lima""",42,Male,Brazil,"$2,424 ","'94,177'"
CUST_DsaKP0Z3ox,"""Matheus""","""Silva""",39,Male,BR,"$2,269 ","'34,790'"
CUST_7Bz6QFgWOo,'Laura',"""Becker""",56,Female,Germany,"$3,318 ","'158,089'"
CUST_ejP7s@wYgW,'Mateo',"""Sánchez""",43,Male,co,"$3,987 ","'130,010'"
CUST_cmc8H@JqWm,"""Jules""",'Durand',56,Male,fr,$809 ,"'32,877'"
CUST_Kt3M3Z5iVg,'Carlos','Rodríguez',36,,co,"$1,919 ","'82,335'"
